flow_name,latency_ms
Intra-EU,41.0002
Intra-EU,55.0002
Intra-EU,69.0002
Intra-EU,83.0003
Intra-EU,97.0003
Intra-EU,111.0003
Intra-EU,125.0003
Intra-EU,139.0003
Intra-EU,154.0002
Intra-EU,167.0003
Intra-EU,181.0003
Intra-EU,195.0003
Intra-EU,209.0003
Intra-EU,223.0003
Intra-EU,237.0004
Intra-EU,251.0004
Intra-EU,265.0004
Intra-EU,279.0004
Intra-EU,294.0002
Intra-EU,307.0004
Intra-EU,321.0004
Intra-EU,335.0004
Intra-EU,349.0004
Intra-EU,363.0004
Intra-EU,377.0005
Intra-EU,391.0005
Intra-EU,405.0005
Intra-EU,419.0005
Intra-EU,433.0005
Intra-EU,462.0005
Intra-EU,476.0005
Intra-EU,491.0002
Intra-EU,504.0005
Intra-EU,518.0005
Intra-EU,532.0005
Intra-EU,546.0006
Intra-EU,560.0006
Intra-EU,574.0006
Intra-EU,588.0006
Intra-EU,602.0006
Intra-EU,616.0006
Intra-EU,630.0006
Intra-EU,644.0006
Intra-EU,658.0006
Intra-EU,672.0006
Intra-EU,686.0007
Intra-EU,700.0007
Intra-EU,714.0007
Intra-EU,728.0007
Intra-EU,742.0007
Intra-EU,756.0007
Intra-EU,770.0007
Intra-EU,784.0007
Intra-EU,798.0007
Intra-EU,812.0007
Intra-EU,826.0008
Intra-EU,840.0008
Intra-EU,854.0008
Intra-EU,868.0008
Intra-EU,882.0008
Intra-EU,896.0008
Intra-EU,910.0008
Intra-EU,924.0008
Intra-EU,938.0008
Intra-EU,953.0009
Intra-EU,966.0008
Intra-EU,980.0009
Intra-EU,994.0009
Intra-EU,1008.0009
Intra-EU,1022.0009
Intra-EU,1036.0009
Intra-EU,1050.0009
Intra-EU,1064.0009
Intra-EU,1078.0009
Intra-EU,1092.0009
Intra-EU,1106.0009
Intra-EU,1120.001
Intra-EU,1134.001
Intra-EU,1148.001
Intra-EU,1162.001
Intra-EU,1176.001
Intra-EU,1190.001
Intra-EU,1204.001
Intra-EU,1218.001
Intra-EU,1232.001
Intra-EU,1246.001
Intra-EU,1260.001
Intra-EU,1274.0011
Intra-EU,1288.0011
Intra-EU,1317.0011
Intra-EU,1331.0011
Intra-EU,1345.0011
Intra-EU,1359.0011
Intra-EU,1373.0011
Intra-EU,1387.0011
Intra-EU,1401.0011
Intra-EU,1415.0011
Intra-EU,1429.0012
Intra-EU,1443.0012
Intra-EU,1457.0012
Intra-EU,1471.0012
Intra-EU,1485.0012
Intra-EU,1499.0012
Intra-EU,1513.0012
Intra-EU,1527.0012
Intra-EU,1541.0012
Intra-EU,1555.0012
Intra-EU,1569.0012
Intra-EU,1583.0013
Intra-EU,1597.0013
Intra-EU,1611.0013
Intra-EU,1625.0013
Intra-EU,1639.0013
Intra-EU,1653.0013
Intra-EU,1667.0013
Intra-EU,1681.0013
Intra-EU,1695.0013
Intra-EU,1709.0013
Intra-EU,1723.0014
Intra-EU,1737.0014
Intra-EU,1751.0014
Intra-EU,1765.0014
Intra-EU,1779.0014
Intra-EU,1793.0014
Intra-EU,1807.0014
Intra-EU,1821.0014
Intra-EU,1835.0014
Intra-EU,1849.0014
Intra-EU,1863.0015
Intra-EU,1877.0015
Intra-EU,1892.0016
Intra-EU,1905.0015
Intra-EU,1919.0015
Intra-EU,1933.0015
Intra-EU,1947.0015
Intra-EU,1962.0002
Intra-EU,1975.0015
Intra-EU,1989.0015
Intra-EU,2003.0015
Intra-EU,2017.0016
Intra-EU,2031.0016
Intra-EU,2045.0016
Intra-EU,2059.0016
Intra-EU,2074.0002
Intra-EU,2087.0016
Intra-EU,2101.0016
Intra-EU,2115.0016
Intra-EU,2129.0016
Intra-EU,2143.0016
Intra-EU,2157.0017
Intra-EU,2171.0017
Intra-EU,2185.0017
Intra-EU,2199.0017
Intra-EU,2213.0017
Intra-EU,2227.0017
Intra-EU,2241.0017
Intra-EU,2255.0017
Intra-EU,2269.0017
Intra-EU,2283.0017
Intra-EU,2297.0017
Intra-EU,2311.0018
Intra-EU,2325.0018
Intra-EU,2339.0018
Intra-EU,2353.0018
Intra-EU,2367.0018
Intra-EU,2381.0018
Intra-EU,2395.0018
Intra-EU,2409.0018
Intra-EU,2423.0018
Intra-EU,2437.0018
Intra-EU,2451.0019
Intra-EU,2465.0019
Intra-EU,2479.0019
Intra-EU,2493.0019
Intra-EU,2507.0019
Intra-EU,2521.0019
Intra-EU,2535.0019
Intra-EU,2549.0019
Intra-EU,2563.0019
Intra-EU,2577.0019
Intra-EU,2591.002
Intra-EU,2605.002
Intra-EU,2619.002
Intra-EU,2633.002
Intra-EU,2647.002
Intra-EU,2661.002
Intra-EU,2675.002
Intra-EU,2689.002
Intra-EU,2703.002
Intra-EU,2717.002
Intra-EU,2731.002
Intra-EU,2745.0021
Intra-EU,2759.0021
Intra-EU,2773.0021
Intra-EU,2787.0021
Intra-EU,2801.0021
Intra-EU,2821.0002
Intra-EU,2829.0021
Intra-EU,2843.0021
Intra-EU,2857.0021
Intra-EU,2871.0021
Intra-EU,2885.0022
Intra-EU,2899.0022
Intra-EU,2913.0022
Intra-EU,2927.0022
Intra-EU,2941.0022
Intra-EU,2956.0002
Intra-EU,2969.0022
Intra-EU,2983.0022
Intra-EU,2997.0022
Intra-EU,3011.0022
Intra-EU,3025.0022
Intra-EU,3039.0023
Intra-EU,3053.0023
Intra-EU,3067.0023
Intra-EU,3081.0023
Intra-EU,3096.0002
Intra-EU,3109.0023
Intra-EU,3123.0023
Intra-EU,3137.0023
