flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,73,0,34060,0.0,51199500,103427.01,3.9602,19,467.0002,103259.0079,26016.6595,10007.0008,93188.0071,103259.0079,30548.5477
SB-TUB-to-NUS,34133,94,0,34039,0.0,51199500,104702.01,3.912,20,602.0002,104361.0068,45860.7265,45465.0035,99128.0064,104361.0068,31790.794
SB-LMU-to-UTokyo,34133,117,0,34016,0.0,51199500,104551.0,3.9177,19,727.0002,104211.0002,49018.6697,48869.0033,99253.0065,102692.0067,32150.2274
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,18,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,0,0,30720,0.0,46080000,0,0,16,0,0,0,0,0,0,0
SB-Sorbonne-to-UTokyo,30720,0,0,30720,0.0,46080000,0,0,16,0,0,0,0,0,0,0
SB-KAIST-to-OVGU,23893,659,0,23234,0.0,35839500,99911.01,2.8697,16,311.0002,99253.0065,49687.3871,49782.0034,94485.0062,98365.0002,28645.9245
SB-UTokyo-to-LMU,23893,34,0,23859,0.0,35839500,99508.01,2.8813,18,353.0002,99475.0113,28848.7093,14151.0017,92931.0106,99475.0113,33136.4012
SB-CMU-to-NUS,23893,0,0,23893,0.0,35839500,0,0,14,0,0,0,0,0,0,0
SB-MIT-to-UTokyo,23893,161,0,23732,0.0,35839500,97867.01,2.9296,15,6907.001,97378.008,46209.9108,41857.0037,91407.0076,96662.008,27946.0756
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,13,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,38,0,23855,0.0,35839500,93152.01,3.0779,15,25930.0026,93006.0067,57973.0574,56824.005,91429.0077,93006.0067,20474.1039
