flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,130,0,23763,0.0,35839500,113404.01,2.5283,20,454.0002,112949.012,48116.0201,46610.0051,105675.0082,110251.0117,34492.6454
Wave1-TUB-to-MIT,23893,301,0,23592,0.0,35839500,112877.01,2.5401,20,377.0002,112149.012,46270.7454,41679.0046,102024.0109,107312.0002,33292.6789
Wave1-LMU-to-Columbia,23893,39,0,23854,0.0,35839500,109360.01,2.6218,18,730.0002,109275.0083,15947.2831,12701.001,31554.0022,109275.0083,17952.5927
Wave1-KIT-to-USC,23893,83,0,23810,0.0,35839500,113107.01,2.5349,16,607.0002,112965.0086,18057.218,14531.0011,38217.0027,112965.0086,18562.0831
Wave2-ETHZ-to-CMU,23893,104,0,23789,0.0,35839500,111844.01,2.5635,14,1447.0003,110525.0126,58933.0931,61199.007,105987.0088,109169.0124,36088.0602
Wave2-Sorbonne-to-Columbia,23893,346,0,23547,0.0,35839500,111955.01,2.561,17,349.0002,110978.0127,52555.8412,52167.0061,105333.0121,109967.0126,33344.5283
Wave3-KAIST-to-CMU,17066,173,0,16893,0.0,25599000,107394.01,1.9069,13,20909.0023,101735.0088,61393.572,59715.0054,98283.0085,101378.0087,23619.7539
Wave3-NUS-to-MIT,17066,0,0,17066,0.0,25599000,0,0,15,0,0,0,0,0,0,0
Wave3-UTokyo-to-USC,17066,0,0,17066,0.0,25599000,0,0,13,0,0,0,0,0,0,0
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,11,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,14,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,13,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,13,0,0,0,0,0,0,0
