flow_name,latency_ms
Wave1-TUB-to-MIT,272.0002
Wave1-TUB-to-MIT,356.0002
Wave1-TUB-to-MIT,525.0002
Wave1-TUB-to-MIT,609.0002
Wave1-TUB-to-MIT,693.0003
Wave1-TUB-to-MIT,777.0003
Wave1-TUB-to-MIT,861.0003
Wave1-TUB-to-MIT,945.0003
Wave1-TUB-to-MIT,1030.0003
Wave1-TUB-to-MIT,1113.0003
Wave1-TUB-to-MIT,1197.0003
Wave1-TUB-to-MIT,1281.0003
Wave1-TUB-to-MIT,1365.0003
Wave1-TUB-to-MIT,1449.0003
Wave1-TUB-to-MIT,1534.0003
Wave1-TUB-to-MIT,1617.0004
Wave1-TUB-to-MIT,1701.0004
Wave1-TUB-to-MIT,1785.0004
Wave1-TUB-to-MIT,1869.0004
Wave1-TUB-to-MIT,1953.0004
Wave1-TUB-to-MIT,2037.0004
Wave1-TUB-to-MIT,2121.0004
Wave1-TUB-to-MIT,2205.0004
Wave1-TUB-to-MIT,2289.0004
Wave1-TUB-to-MIT,2373.0004
Wave1-TUB-to-MIT,2457.0005
Wave1-TUB-to-MIT,2542.0003
Wave1-TUB-to-MIT,2625.0005
Wave1-TUB-to-MIT,2709.0005
Wave1-TUB-to-MIT,2878.0005
Wave1-TUB-to-MIT,2962.0005
Wave1-TUB-to-MIT,3047.0005
Wave1-TUB-to-MIT,3130.0005
Wave1-TUB-to-MIT,3214.0005
Wave1-TUB-to-MIT,3298.0005
Wave1-TUB-to-MIT,3382.0005
Wave1-TUB-to-MIT,3466.0006
Wave1-TUB-to-MIT,3550.0006
Wave1-TUB-to-MIT,3634.0006
Wave1-TUB-to-MIT,3718.0006
Wave1-TUB-to-MIT,3802.0006
Wave1-TUB-to-MIT,3886.0006
Wave1-TUB-to-MIT,3970.0006
Wave1-TUB-to-MIT,4054.0006
Wave1-TUB-to-MIT,4138.0006
Wave1-TUB-to-MIT,4222.0006
Wave1-TUB-to-MIT,4306.0007
Wave1-TUB-to-MIT,4390.0007
Wave1-TUB-to-MIT,4474.0007
Wave1-TUB-to-MIT,4559.0007
Wave1-TUB-to-MIT,4642.0007
Wave1-TUB-to-MIT,4726.0007
Wave1-TUB-to-MIT,4810.0007
Wave1-TUB-to-MIT,4894.0007
Wave1-TUB-to-MIT,4978.0007
Wave1-TUB-to-MIT,5062.0007
Wave1-TUB-to-MIT,5146.0008
Wave1-TUB-to-MIT,5230.0008
Wave1-TUB-to-MIT,5314.0008
Wave1-TUB-to-MIT,5398.0008
Wave1-TUB-to-MIT,5482.0008
Wave1-TUB-to-MIT,5566.0008
Wave1-TUB-to-MIT,5650.0008
Wave1-TUB-to-MIT,5734.0008
Wave1-TUB-to-MIT,5818.0008
Wave1-TUB-to-MIT,5902.0008
Wave1-TUB-to-MIT,5986.0008
Wave1-TUB-to-MIT,6072.0002
Wave1-TUB-to-MIT,6154.0009
Wave1-TUB-to-MIT,6238.0009
Wave1-TUB-to-MIT,6322.0009
Wave1-TUB-to-MIT,6406.0009
Wave1-TUB-to-MIT,6490.0009
Wave1-TUB-to-MIT,6574.0009
Wave1-TUB-to-MIT,6658.0009
Wave1-TUB-to-MIT,6742.0009
Wave1-TUB-to-MIT,6826.0009
Wave1-TUB-to-MIT,6910.001
Wave1-TUB-to-MIT,6994.001
Wave1-TUB-to-MIT,7162.001
