flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
Wave1-OVGU-to-CMU,23893,130,0,23763,0.0,35839500,114304.01,2.5084,18,364.0002,113944.0123,27422.9182,10779.0013,98313.0106,111249.012,33219.8631
Wave1-TUB-to-MIT,23893,423,0,23470,0.0,35839500,114937.01,2.4945,15,272.0002,113972.013,38936.0588,29687.0002,103325.0118,111944.0128,32355.8373
Wave1-LMU-to-Columbia,23893,38,0,23855,0.0,35839500,101800.01,2.8165,18,730.0002,101716.0078,17693.738,13898.001,71839.0054,101716.0078,19230.9077
Wave1-KIT-to-USC,23893,83,0,23810,0.0,35839500,109387.01,2.6211,15,607.0002,109245.0083,17984.2179,14651.0011,38217.0027,109245.0083,18339.6047
Wave2-ETHZ-to-CMU,23893,217,0,23676,0.0,35839500,111664.01,2.5677,12,14914.002,110767.0123,63822.3982,63688.0072,106222.0085,110145.0088,27234.0977
Wave2-Sorbonne-to-Columbia,23893,122,0,23771,0.0,35839500,111505.01,2.5713,18,49454.006,111142.013,80098.9519,80382.0095,107762.0126,110635.0129,18027.0357
Wave3-KAIST-to-CMU,17066,164,0,16902,0.0,25599000,107634.01,1.9027,11,20433.0022,101973.0088,61342.7189,60667.0055,98640.0085,101378.0087,24100.6161
Wave3-NUS-to-MIT,17066,0,0,17066,0.0,25599000,0,0,11,0,0,0,0,0,0,0
Wave3-UTokyo-to-USC,17066,0,0,17066,0.0,25599000,0,0,7,0,0,0,0,0,0,0
Wave4-OVGU-to-Columbia,13653,0,0,13653,0.0,20479500,0,0,12,0,0,0,0,0,0,0
Wave4-TUB-to-CMU,13653,0,0,13653,0.0,20479500,0,0,12,0,0,0,0,0,0,0
Wave5-KIT-to-MIT,10240,0,0,10240,0.0,15360000,0,0,9,0,0,0,0,0,0,0
Wave5-ETHZ-to-USC,10240,0,0,10240,0.0,15360000,0,0,7,0,0,0,0,0,0,0
